Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,NA,839.485886051471,888.153370005426,885.840818972452,979.273978611804,1031.64313483554,1176.12635743384,1218.11821480543,1454.66301483129,1637.37798708028,1626.76479325583,1806.7639297497,1874.76563448053,1897.52593759488,1886.69297689805,1896.99251956752,1934.63675411354,1955.00620775557
Albania,4301.35279874992,4661.37155341076,4994.51880731917,5422.7784619431,5865.30619612569,6559.78325677995,7276.30296869082,8228.37423890574,8814.81085605008,9628.02578340836,10207.7523472149,10526.2354457688,10571.0106501214,11259.2258938162,11662.0304810353,11868.1789681017,12930.1400345966,13364.1553966514
Algeria,8480.07045862817,8981.34926734444,9682.4760351135,10234.9309046785,11022.1474669711,11380.0944227252,11897.1038212039,12218.0473865624,12294.6124889925,12655.1374103049,13046.1285113709,13482.7211230765,13823.8282325269,14326.283007894,14711.2208543312,15036.3641495916,15207.1791488773,15481.7876195754
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,3191.26632340776,3564.09602605902,3614.60727755068,3978.69719448204,4555.18584237212,5048.87644915894,5697.25132780177,6221.42337303299,6092.78324493601,6230.29702791298,6346.39512245023,6772.52833330165,6980.42303765629,7199.24547787972,7096.60061493129,6756.93507434352,6650.58493982441,6452.35516529031
Antigua and Barbuda,15804.1215566343,15994.1761485754,17059.1371627749,18284.4676649436,19784.9667887268,22634.0010020186,24994.5582233496,25064.1017670334,21852.2030821564,20134.8172469042,19876.2153228796,20672.9120615171,20656.3815752968,21599.1991356695,22422.029389552,23670.3022557124,24644.551883064,26868.1335238429
Arab Mundo,9584.10830145472,9581.7971427276,9974.64189782621,10937.3160890742,11646.4860892337,12442.1879410371,13041.925530933,13739.7277458144,13640.8467804287,14127.778019072,14519.8815064838,15424.5851298861,15825.9289764827,16154.4175742964,16502.9906131099,16936.6128000594,17101.1308307964,17571.4131783648
Argentina,11514.6191069331,10310.1291162407,11307.7579844436,12527.8004962651,13916.5305134683,15334.9368605146,16994.6959837683,17850.1301895326,16753.3948878684,18524.8567559266,19817.4504765479,19764.2250138718,20365.6133492316,20008.3206437718,20551.8331919861,20130.4080257097,20843.1550676442,20610.5685495282
Armenia,2621.85436449338,3031.12188186261,3539.63026732939,4038.45507485388,4772.59004734909,5609.16896953225,6609.17182379203,7264.56119509849,6326.65796857486,6565.67866039471,7019.76774846004,7649.06153121851,8003.08776261057,8405.07365471642,8727.38544721151,8808.57271422555,9620.81849105517,10343.1755901515
Aruba,32117.9123240376,30862.2226879381,31387.2829554433,34176.4646014807,35207.5772430056,36362.2193169021,37865.4934863172,38515.2637965284,34693.0867452693,33732.847449979,35492.6184873268,35498.9820892515,37419.8928171808,38223.3722610247,38249.0548684635,38390.2716490175,39454.6298306781,NA
Australia,27336.6826900614,28718.241079556,29693.9059129237,31327.3774922975,32575.0692539649,34306.6523094004,36560.4056480642,37459.307649507,40300.3082316095,39324.3689530042,41965.3584189919,42826.789579996,45902.047948361,46880.2206571585,46276.1506853863,47305.8800224297,49628.8118138792,51663.3650948449
Austria,29715.2222181289,31178.6933297272,32108.632547686,33743.0447084692,35013.7140443423,37623.0757580996,39392.5405883999,41316.225176699,40926.5237645676,42006.0468807427,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49879.2664728545,51809.5136270202,53937.0663797317,55454.689293289
