Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,-1.567973,-1.082488,-0.8940507,-1.210829,-1.430343,-1.403352,-1.496089,-1.483899,-1.454683,-1.448488,-1.36014,-1.38493,-1.331396,-1.322989,-1.218619,-1.325623
Albania,-0.5333483,-0.5382094,-0.4158677,-0.6594524,-0.5236022,-0.4066241,-0.3567637,-0.2578982,-0.2827555,-0.208207,-0.2677997,-0.3169199,-0.0855579,0.0104045,0.0053211,0.0753428
Algeria,-0.5975198,-0.6123729,-0.5726308,-0.4675675,-0.4726413,-0.5657254,-0.6265267,-0.5829369,-0.4795416,-0.5646155,-0.5323191,-0.5341949,-0.4775529,-0.5003234,-0.5364503,-0.5964616
Andorra,1.423874,1.410648,1.524566,1.292862,1.543035,1.508254,1.537209,1.540096,1.518033,1.504689,1.531356,1.539397,1.718336,1.787497,1.860924,1.937318
Angola,-1.238857,-1.156531,-1.314578,-1.137153,-1.369493,-1.206412,-1.062213,-0.9603533,-1.117896,-1.153556,-0.9896317,-1.223171,-1.123669,-1.000092,-1.039364,-1.028804
Antigua and Barbuda,0.6143455,0.6333275,0.5590521,0.453247,0.416459,0.4052124,0.5056782,0.5023152,0.4928478,0.4868821,0.4859672,0.4905606,-0.0692469,0.2275942,0.2657967,0.0102434
Arab Mundo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,-0.2803573,-0.0474383,-0.0575691,-0.1242145,-0.0455042,-0.0159589,-0.1468119,-0.3182648,-0.16279,-0.1200561,-0.2385752,-0.2775489,-0.1591353,-0.0749032,0.1726752,0.1601257
Armenia,-0.0914017,-0.1563007,-0.0922412,-0.139913,-0.2545792,-0.3758438,-0.1726939,-0.0297348,-0.1838435,-0.1289589,-0.0422713,0.0690115,-0.1980509,-0.1607126,-0.1503197,-0.0966434
Australia,1.718943,1.837643,2.006778,1.751213,1.711956,1.825559,1.79397,1.705787,1.768756,1.69595,1.62144,1.639869,1.607115,1.564803,1.568841,1.535622
Austria,1.942698,1.995846,1.865303,1.684595,1.831036,1.870187,1.78084,1.66658,1.841763,1.617761,1.575873,1.588477,1.572586,1.479388,1.512235,1.461382
Azerbaijan,-0.9290094,-0.7668569,-0.7424284,-0.7294372,-0.6535253,-0.7891765,-0.7735335,-0.6581194,-0.8069344,-0.7651483,-0.7826402,-0.4750386,-0.3638154,-0.257282,-0.1590945,-0.1615375
Bahamas, The,1.309838,1.282935,1.221895,1.210941,1.169823,1.108991,1.149585,1.008501,1.075746,0.9800856,0.9895768,0.872555,0.7289602,0.71293,0.7198482,0.5773413
Bahrain,0.5528279,0.4817965,0.546102,0.3969875,0.3956852,0.4089861,0.3868127,0.4806274,0.456938,0.5206671,0.5497593,0.588787,0.5650396,0.5599696,0.3202427,0.1859811
Bangladesh,-0.6887409,-0.7254452,-0.8191851,-0.9113003,-0.8245271,-0.7045036,-0.7324244,-0.7912479,-0.7356325,-0.755215,-0.8041654,-0.7938247,-0.7657504,-0.7235792,-0.683597,-0.7379191
Barbados,1.423874,1.410648,1.205475,1.29583,1.449119,1.327273,1.572235,1.484389,1.411678,1.470894,1.462176,1.357322,1.204714,1.025392,1.082494,0.8426257
Belarus,-0.9226209,-0.9246382,-1.069121,-1.08396,-1.117119,-1.112913,-1.114199,-1.129521,-1.114167,-1.077807,-0.9016269,-0.8968143,-0.4861701,-0.4587722,-0.4854405,-0.3463647
Belgium,1.97801,1.933774,1.875864,1.711561,1.747101,1.60886,1.389756,1.571342,1.575026,1.656356,1.602476,1.607339,1.381594,1.438698,1.32654,1.181864
Belize,0.0582947,-0.0569368,-0.2571345,-0.0891359,-0.33318,-0.4533815,-0.5131488,-0.4490965,-0.4300884,-0.3809695,-0.32469,-0.329107,-0.6573147,-0.6841542,-0.6756301,-0.6360012
Benin,-0.3677277,-0.2826665,-0.3562629,-0.6576268,-0.6065888,-0.5326906,-0.4623681,-0.5754821,-0.5946886,-0.5458966,-0.5152873,-0.4894403,-0.4568181,-0.6212042,-0.5599391,-0.6434544
Bhutan,0.7845386,0.4894388,0.0205903,0.3245951,0.2366175,0.2958726,0.2825854,0.4948203,0.5846536,0.6326249,0.5126127,0.4004478,0.2561472,0.4064913,0.489107,0.5575445
Bolivia,-0.301505,-0.3208049,-0.5872478,-0.6887374,-0.7167103,-0.5706812,-0.6245782,-0.6045188,-0.5023107,-0.472497,-0.3686716,-0.3865935,-0.5877074,-0.6519443,-0.5727847,-0.3905794
Bosnia and Herzegovina,-0.9600754,-0.7451925,-0.6297022,-0.7555057,-0.6169132,-0.8443848,-0.597142,-0.7154362,-0.7410704,-0.7432485,-0.4572612,-0.4347017,-0.4511423,-0.5452092,-0.394369,-0.4821007
Botswana,0.6065881,0.7258958,0.6100825,0.6495795,0.5078346,0.6010549,0.5673319,0.4725233,0.4473519,0.4605835,0.4822128,0.4141677,0.3524033,0.4974239,0.5163522,0.4251795
Brasil,0.0559796,0.1975102,0.0195322,-0.0963305,-0.3203326,-0.2142833,-0.0895778,-0.0947754,-0.0353412,-0.1165466,-0.1281734,-0.0928867,-0.1393555,-0.1839961,-0.1714782,-0.287862
Brunei Darussalam,0.8949295,0.7458653,0.2431719,0.600312,0.8732989,0.9243966,0.8885025,0.9180717,0.9018937,0.8970225,0.8435253,0.8697733,1.086335,1.060171,1.084499,1.144513
Bulgaria,0.2487509,0.114253,0.1505233,0.1818574,-0.0573758,-0.0075428,-0.0473091,0.1661583,0.1148352,0.1100856,0.1418881,0.1573445,0.0787379,0.2088165,0.296719,0.2611969
Burkina Faso,-0.6777477,-0.5573869,-0.5146186,-0.5787717,-0.762337,-0.7534196,-0.4897978,-0.5855719,-0.5688464,-0.559046,-0.623989,-0.6608419,-0.5788296,-0.5866176,-0.546162,-0.5888137
Burundi,-1.401429,-1.394841,-1.307576,-1.249581,-1.103347,-1.26863,-1.127049,-1.04617,-1.100945,-1.063229,-1.320103,-1.064957,-1.129147,-1.159005,-1.416543,-1.339432
Cabo Verde,-0.0754885,-0.0228101,-0.0322119,-0.2121785,0.1572554,0.3535233,0.065787,0.0531146,-0.0159267,0.1546475,0.1205737,0.0969095,0.069981,0.1478358,0.109663,0.1563388
Cambodia,-0.8083998,-0.85185,-0.8856814,-0.9993225,-0.966638,-0.9037987,-0.9887551,-0.9450983,-0.9429888,-0.862749,-0.815832,-0.9061814,-0.6889596,-0.6994131,-0.6914503,-0.6553081
Cameroon,-0.8495601,-0.7047145,-0.6965621,-0.9095589,-0.9493961,-0.841257,-0.8058205,-0.8375226,-0.8900719,-0.8900592,-0.8980061,-0.918752,-0.7910342,-0.7733105,-0.7596443,-0.8197913
Canada,1.923086,1.990027,1.922352,1.887422,1.895545,1.761394,1.791681,1.74589,1.783194,1.778378,1.765713,1.788732,1.760523,1.762371,1.781797,1.854211
Caribbean small states,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,-1.538998,-1.460073,-1.531203,-1.564509,-1.504425,-1.537028,-1.374411,-1.41218,-1.387743,-1.282366,-1.448529,-1.609883,-1.848333,-1.784717,-1.776694,-1.770058
Central Europe and the Baltics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad,-0.8493667,-1.050446,-1.168478,-1.383892,-1.484556,-1.626121,-1.576653,-1.445783,-1.466302,-1.370537,-1.488766,-1.388831,-1.495927,-1.461071,-1.503716,-1.461042
Chile,1.147711,1.224551,1.190407,1.23629,1.034509,1.275488,1.168234,1.247791,1.27253,1.247598,1.264068,1.264524,1.161332,1.086324,1.016991,0.8513755
China,-0.0602706,-0.0820877,-0.0552381,-0.1199866,0.0704749,0.1827777,0.150768,0.0938044,0.0886487,0.0882015,0.0234259,0.0036481,0.3228883,0.4080173,0.356523,0.4219082
Colombia,-0.41275,-0.1526648,-0.1821401,-0.1780718,-0.1666891,-0.0468053,-0.0287408,-0.2459242,-0.0592384,0.0388793,0.022952,0.0713581,-0.1005563,-0.0360178,0.0216536,-0.0672727
Comoros,-0.8046831,-1.278985,-1.542946,-1.601033,-1.677348,-1.757584,-1.775537,-1.769843,-1.743063,-1.760505,-1.550861,-1.589367,-1.67404,-1.522047,-1.552504,-1.566081
Congo, Dem. Rep.,-1.692212,-1.528456,-1.448674,-1.5719,-1.619065,-1.745683,-1.665454,-1.693531,-1.735644,-1.679297,-1.654935,-1.47771,-1.56138,-1.629252,-1.510751,-1.634156
Congo, Rep.,-1.254409,-1.23332,-1.086062,-1.270692,-1.256063,-1.322266,-1.220554,-1.226726,-1.227733,-1.195285,-1.173946,-1.155924,-1.11031,-1.022181,-1.093558,-1.194322
Costa Rica,0.3515086,0.2521123,0.2117213,0.1561034,0.0490957,0.2012671,0.2776813,0.3313352,0.3081369,0.338154,0.5001248,0.4823061,0.3965975,0.3757628,0.3540183,0.2473534
Cote d'Ivoire,-0.8806713,-0.9832975,-1.255008,-1.323396,-1.163073,-1.209597,-1.243004,-1.108912,-1.285643,-1.155031,-1.098414,-0.9257876,-0.833844,-0.6817607,-0.6584747,-0.7414735
Croatia,0.3530358,0.3699,0.4415614,0.4607839,0.5713952,0.4742114,0.5699982,0.5968499,0.6223207,0.5612522,0.7066917,0.7011864,0.6929633,0.5140134,0.5000231,0.5767437
Cuba,-0.5522521,-0.3144865,-0.4510439,-0.5437028,-0.2430956,-0.2008853,-0.379952,-0.36246,-0.3614289,-0.3753886,-0.4049135,-0.4397751,-0.0467849,0.0218796,-0.1216692,-0.1978239
Cyprus,1.350596,1.183419,1.127475,1.157761,1.267324,1.427616,1.532571,1.418329,1.53183,1.563668,1.391172,1.366624,1.140384,1.048837,0.9612627,0.9201956
Czech Republic,0.968913,0.8982299,0.864375,0.9252368,1.09646,0.8953341,1.013642,0.8832404,0.9052177,0.9309797,0.9289219,0.89182,1.017593,1.046727,1.054277,1.022965
Denmark,2.088286,2.154386,2.309707,2.119752,2.22626,2.353998,2.251272,2.232205,2.09679,2.101079,1.984567,1.992455,1.819007,1.848227,1.876391,1.797004
Djibouti,-0.8046831,-0.6645386,-0.5863041,-0.8036719,-0.8778276,-0.8562298,-0.8666221,-0.8913776,-0.9720984,-0.9478842,-1.063123,-0.9622945,-0.9743846,-0.954309,-0.9736806,-1.030469
Dominica,0.5200747,0.3591074,0.2266096,0.4908443,0.4475069,0.4818252,0.5415921,0.6271887,0.6499092,0.6036413,0.6611227,0.7081782,0.0763086,0.1174361,0.054681,-0.2533445
Dominican Republic,-0.3928855,-0.5437886,-0.680542,-0.5511778,-0.5851245,-0.6747107,-0.6196099,-0.6126065,-0.6435439,-0.5907013,-0.5102426,-0.4675454,-0.4352699,-0.3572358,-0.2473399,-0.353159
Early-demographic dividend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Asia & Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Asia & Pacific (excluding high income),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Asia & Pacific (IDA & IBRD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,-0.8350485,-0.8575776,-0.9080252,-0.9469087,-0.996869,-0.8693714,-0.8649213,-0.7942843,-0.7165983,-0.5814193,-0.5048822,-0.501632,-0.4729435,-0.4422617,-0.4288923,-0.3206941
Egypt, Arab Rep.,-0.4060136,-0.3366209,-0.2658089,-0.4151942,-0.5064402,-0.3891287,-0.3658952,-0.2795061,-0.3705819,-0.5683784,-0.8084975,-0.8773995,-0.8226774,-0.7522207,-0.6483405,-0.6192533
El Salvador,-0.5032105,-0.3509711,-0.3417682,-0.3816304,-0.1524331,-0.2015099,-0.1620378,-0.0448861,0.007418,-0.1028972,-0.1271779,-0.1152254,-0.0327334,-0.2354988,-0.2859958,-0.3656491
Equatorial Guinea,-1.338886,-1.242262,-1.44303,-1.434867,-1.584831,-1.666088,-1.667329,-1.696883,-1.679618,-1.633306,-1.606107,-1.541717,-1.504543,-1.417881,-1.407719,-1.437544
Eritrea,-0.7406211,-0.8930053,-1.003851,-0.9355375,-1.300268,-1.290115,-1.299435,-1.365197,-1.357186,-1.411577,-1.447658,-1.519718,-1.607063,-1.593308,-1.70198,-1.726647
Estonia,0.7357646,0.9419677,0.924236,0.9649968,1.157151,1.037318,1.161841,1.009114,1.085701,1.076737,0.954538,0.9747753,1.01668,1.068197,1.098246,1.116494
Eswatini,-0.520105,-0.7287802,-1.008033,-1.053804,-0.7878064,-0.8257297,-0.745842,-0.7245805,-0.5382388,-0.6832258,-0.532473,-0.4481933,-0.5629535,-0.5386465,-0.5565437,-0.5772451
Ethiopia,-0.9049703,-0.882255,-0.7859753,-0.9171304,-0.6600141,-0.4384569,-0.3967329,-0.4968872,-0.4322301,-0.4841617,-0.4252695,-0.6069971,-0.4244817,-0.6466611,-0.6400135,-0.6991847
Euro area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe & Central Asia (excluding high income),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe & Central Asia (IDA & IBRD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,0.1415984,-0.1133136,-0.3909178,-0.0797787,-0.0913989,-0.4322089,-0.7335429,-0.9101737,-0.7242388,-0.7062007,-0.8380063,-0.8434518,-0.3677711,-0.2912035,-0.2485172,0.092675
Finland,2.161537,2.261099,2.169805,2.129372,2.170114,1.974782,2.050841,2.229059,2.22934,2.241138,2.220478,2.174288,1.998276,1.813306,1.829244,1.936893
Fragile and conflict affected situations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1.602407,1.714666,1.776973,1.671527,1.632802,1.471042,1.582908,1.480974,1.430301,1.359144,1.340279,1.481829,1.40317,1.437053,1.405581,1.35223
Gabon,-0.3423977,-0.4415162,-0.783031,-0.8147785,-0.7829701,-0.7906118,-0.8182434,-0.7436082,-0.7721487,-0.7950383,-0.9048195,-0.8308429,-0.6441652,-0.733564,-0.7917777,-0.9431855
Gambia, The,-0.6341123,-0.4785899,-0.5508382,-0.7155911,-0.6751559,-0.5743247,-0.72435,-0.6718888,-0.6788139,-0.6078252,-0.5124295,-0.7053789,-0.6698945,-0.9034616,-0.8416588,-0.6478594
Georgia,-0.7959847,-0.3994781,-0.5374144,-0.4339972,-0.2444875,0.1105726,0.2967184,0.2873248,0.3092597,0.5536639,0.6058381,0.5852123,0.4891872,0.4046831,0.506961,0.5703294
Germany,1.719772,1.41907,1.487871,1.505681,1.650243,1.637844,1.522836,1.578987,1.571172,1.554961,1.593369,1.54252,1.731392,1.737117,1.734903,1.719366
Ghana,-0.0977649,-0.1973791,-0.2004661,-0.1873818,0.1603275,0.1288427,0.0327254,-0.0453508,-0.0378857,-0.0504538,-0.0485327,-0.0983737,-0.2808576,-0.2512357,-0.1976131,-0.1119579
Greece,0.8249017,0.7612695,0.8052155,0.715305,0.636948,0.5579451,0.5852923,0.6194866,0.5560393,0.5121977,0.3198002,0.4592025,0.3985864,0.2561991,0.2269832,0.3136996
Grenada,0.4349662,0.3027306,0.1869617,0.3275459,0.307549,0.2349972,0.1900765,0.2131738,0.1759729,0.2278576,0.2673911,0.2272472,-0.1086727,-0.1961747,-0.1747189,-0.1750416
Guatemala,-0.4976255,-0.4888726,-0.7010107,-0.7204829,-0.6051489,-0.5503302,-0.5634344,-0.714392,-0.697995,-0.69787,-0.7554433,-0.7031401,-0.7288904,-0.7110018,-0.6060877,-0.6398038
Guinea,-0.9132544,-0.710053,-0.8733571,-1.047564,-1.296292,-1.247959,-1.17083,-1.022252,-1.108981,-1.123202,-1.268741,-1.17368,-1.232363,-1.142424,-1.00531,-1.044228
Guinea-Bissau,-1.089014,-1.224998,-1.455491,-1.360628,-1.102396,-1.081759,-1.041658,-1.029427,-1.029506,-1.028708,-1.230398,-1.43311,-1.583007,-1.61314,-1.642729,-1.766072
Guyana,-0.2531132,-0.1245092,-0.1566955,-0.5074329,-0.2981161,-0.0381355,-0.188868,-0.1795437,-0.1062271,-0.0817649,-0.1147759,-0.1158667,-0.232317,-0.3354063,-0.3012292,-0.2905849
Haiti,-1.545026,-1.521626,-1.65942,-1.334532,-1.278498,-1.304207,-1.293409,-1.490064,-1.629203,-1.673318,-1.645002,-1.576287,-2.041475,-2.016381,-2.062993,-2.055587
Heavily indebted poor countries (HIPC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
