Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11.2,13.5,NA
Albania,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,63.2529327,66.3634447,71.8470405,NA
Algeria,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,59.57968476
Andorra,NA,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9,96.91,97.93063712,91.56746703,NA
Angola,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,21.4,12.4,13,14.33907936,NA
Antigua and Barbuda,8.899285515,12.5,17.22864878,24.26654372,27,30,34,38,42,47,52,58,63.4,67.78,70,73,76,NA
Arab Mundo,1.59036859126465,2.72740391954483,3.68668240412587,7.08195800918121,8.46430059427144,11.6967073044332,14.2275432517325,18.5970961481042,21.5686671530085,24.9477618371479,26.7538745888753,30.3700753134907,33.1127975750516,36.6238490712225,43.6963348683202,41.487476705116,49.2601279703075,NA
Argentina,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,68.04306411,70.96898082,74.29490687,NA
Armenia,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,54.62280586,59.10237771,64.34602977,64.74488433,NA
Australia,52.68926643,NA,NA,NA,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051935,86.54,86.54504885,NA
Austria,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.71046495
