Indicator Name,"Indicator Code","Economy Name","Economy Code","2017 [YR2017]"
Expected Years of School,"HD.HCI.EYRS","Afghanistan","AFG","8.58"
Expected Years of School,"HD.HCI.EYRS","Albania","ALB","12.99"
Expected Years of School,"HD.HCI.EYRS","Algeria","DZA","11.42"
Expected Years of School,"HD.HCI.EYRS","Angola","AGO","7.89"
Expected Years of School,"HD.HCI.EYRS","Argentina","ARG","13.07"
Expected Years of School,"HD.HCI.EYRS","Armenia","ARM","11.09"
Expected Years of School,"HD.HCI.EYRS","Australia","AUS","13.77"
Expected Years of School,"HD.HCI.EYRS","Austria","AUT","13.89"
Expected Years of School,"HD.HCI.EYRS","Azerbaijan","AZE","11.58"
Expected Years of School,"HD.HCI.EYRS","Bahrain","BHR","13.28"
Expected Years of School,"HD.HCI.EYRS","Bangladesh","BGD","11.03"
Expected Years of School,"HD.HCI.EYRS","Belgium","BEL","13.41"
Expected Years of School,"HD.HCI.EYRS","Benin","BEN","9.32"
Expected Years of School,"HD.HCI.EYRS","Bosnia and Herzegovina","BIH","11.71"
Expected Years of School,"HD.HCI.EYRS","Botswana","BWA","8.41"
Expected Years of School,"HD.HCI.EYRS","Brazil","BRA","11.69"
Expected Years of School,"HD.HCI.EYRS","Bulgaria","BGR","12.92"
Expected Years of School,"HD.HCI.EYRS","Burkina Faso","BFA","6.5"
Expected Years of School,"HD.HCI.EYRS","Burundi","BDI","7.51"
Expected Years of School,"HD.HCI.EYRS","Cambodia","KHM","9.55"
Expected Years of School,"HD.HCI.EYRS","Cameroon","CMR","9.07"
Expected Years of School,"HD.HCI.EYRS","Canada","CAN","13.67"
Expected Years of School,"HD.HCI.EYRS","Chad","TCD","4.95"
Expected Years of School,"HD.HCI.EYRS","Chile","CHL","12.85"
Expected Years of School,"HD.HCI.EYRS","China","CHN","13.25"
Expected Years of School,"HD.HCI.EYRS","Colombia","COL","12.48"
Expected Years of School,"HD.HCI.EYRS","Comoros","COM","8.45"
Expected Years of School,"HD.HCI.EYRS","Congo, Dem. Rep.","COD","9.19"
Expected Years of School,"HD.HCI.EYRS","Congo, Rep.","COG","8.8"
Expected Years of School,"HD.HCI.EYRS","Costa Rica","CRI","12.48"
Expected Years of School,"HD.HCI.EYRS","Cote d'Ivoire","CIV","7.04"
Expected Years of School,"HD.HCI.EYRS","Croatia","HRV","13.31"
Expected Years of School,"HD.HCI.EYRS","Cyprus","CYP","13.52"
Expected Years of School,"HD.HCI.EYRS","Czech Republic","CZE","13.94"
Expected Years of School,"HD.HCI.EYRS","Denmark","DNK","13.45"
Expected Years of School,"HD.HCI.EYRS","Dominican Republic","DOM","11.29"
Expected Years of School,"HD.HCI.EYRS","Ecuador","ECU","13.18"
Expected Years of School,"HD.HCI.EYRS","Egypt, Arab Rep.","EGY","11.13"
Expected Years of School,"HD.HCI.EYRS","El Salvador","SLV","11.31"
Expected Years of School,"HD.HCI.EYRS","Estonia","EST","13.1"
Expected Years of School,"HD.HCI.EYRS","Eswatini","SWZ","8.15"
Expected Years of School,"HD.HCI.EYRS","Ethiopia","ETH","7.85"
Expected Years of School,"HD.HCI.EYRS","Finland","FIN","13.75"
Expected Years of School,"HD.HCI.EYRS","France","FRA","13.96"
