Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Afghanistan (AFG)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Afghanistan (AFG)","Survival Rate from Age 15-60, Female (HD.HCI.AMRT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Afghanistan (AFG)","Survival Rate from Age 15-60, Male (HD.HCI.AMRT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Afghanistan (AFG)","Expected Years of School (HD.HCI.EYRS)","2017 (YR2017)","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition."
FootNote,"Afghanistan (AFG)","Expected Years of School, Female (HD.HCI.EYRS.FE)","2017 (YR2017)","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition."
FootNote,"Afghanistan (AFG)","Expected Years of School, Male (HD.HCI.EYRS.MA)","2017 (YR2017)","Estimates based on primary enrollment data for 2017. Estimates are adjusted for repetition."
FootNote,"Afghanistan (AFG)","Harmonized Test Scores (HD.HCI.HLOS)","2017 (YR2017)","Estimates based on data for 2016 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Afghanistan (AFG)","Harmonized Test Scores, Female (HD.HCI.HLOS.FE)","2017 (YR2017)","Estimates based on data for 2016 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Afghanistan (AFG)","Harmonized Test Scores, Male (HD.HCI.HLOS.MA)","2017 (YR2017)","Estimates based on data for 2016 from the testing program: EGRA. For details on testing programs, please refer to the metadata for Harmonized Test Scores."
FootNote,"Afghanistan (AFG)","Probability of Survival to Age 5 (HD.HCI.MORT)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Afghanistan (AFG)","Probability of Survival to Age 5, Female (HD.HCI.MORT.FE)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Afghanistan (AFG)","Probability of Survival to Age 5, Male (HD.HCI.MORT.MA)","2017 (YR2017)","Estimates based on data for 2017."
FootNote,"Afghanistan (AFG)","Fraction of Children Under 5 Not Stunted (HD.HCI.STNT)","2017 (YR2017)","Estimates based on data for 2013."
FootNote,"Angola (AGO)","Survival Rate from Age 15-60 (HD.HCI.AMRT)","2017 (YR2017)","Estimates based on data for 2017."
