Type,"Country Code","Series Code","Description"
Country-Series,"Afghanistan (AFG)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Population, total (SP.POP.TOTL)","Data source: Institute of Statistics, Eurostat"
Country-Series,"Argentina (ARG)","Population, total (SP.POP.TOTL)","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Australia (AUS)","Population, total (SP.POP.TOTL)","Data source: Australian Bureau of Statistics"
Country-Series,"Austria (AUT)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Azerbaijan (AZE)","Population, total (SP.POP.TOTL)","Data source: Eurostat, State Statistical Committee, United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Belgium (BEL)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Benin (BEN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Bulgaria (BGR)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Bosnia and Herzegovina (BIH)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Belarus (BLR)","Population, total (SP.POP.TOTL)","Data source: National Statistical Committee of the Republic of Belarus"
Country-Series,"Belize (BLZ)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Bolivia (BOL)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Canada (CAN)","Population, total (SP.POP.TOTL)","Data source: Statistics Canada"
Country-Series,"Switzerland (CHE)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Chile (CHL)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"China (CHN)","Population, total (SP.POP.TOTL)","Data source: National Bureau of Statistics"
Country-Series,"Côte d'Ivoire (CIV)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Cameroon (CMR)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Congo, Dem. Rep. (COD)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Congo, Rep. (COG)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Colombia (COL)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Comoros (COM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Cabo Verde (CPV)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Costa Rica (CRI)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Cyprus (CYP)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Czech Republic (CZE)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Germany (DEU)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Djibouti (DJI)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Denmark (DNK)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Dominican Republic (DOM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Spain (ESP)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Estonia (EST)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Ethiopia (ETH)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Finland (FIN)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Fiji (FJI)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"France (FRA)","Population, total (SP.POP.TOTL)","Data source: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion."
Country-Series,"Micronesia, Fed. Sts. (FSM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Gabon (GAB)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"United Kingdom (GBR)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Georgia (GEO)","Population, total (SP.POP.TOTL)","Data source and note: GeoStats. Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas."
Country-Series,"Ghana (GHA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea (GIN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Gambia, The (GMB)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea-Bissau (GNB)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Equatorial Guinea (GNQ)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Greece (GRC)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Guatemala (GTM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Honduras (HND)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Croatia (HRV)","Population, total (SP.POP.TOTL)","Data source: Croatian Bureau of Statistics, Eurostat"
