Type,"Series Code","Time Code","Description"
Series-Time,"Terrestrial protected areas (% of total land area) (ER.LND.PTLD.ZS)","  (YR2016)","Reflects data that was available in the Protected Planet API in January 2017."
Series-Time,"Terrestrial protected areas (% of total land area) (ER.LND.PTLD.ZS)","  (YR2017)","Reflects data that was available in the Protected Planet API in August 2018."
Series-Time,"Marine protected areas (% of territorial waters) (ER.MRN.PTMR.ZS)","  (YR2016)","Reflects data that was available in the Protected Planet API in January 2017."
Series-Time,"Marine protected areas (% of territorial waters) (ER.MRN.PTMR.ZS)","  (YR2017)","Reflects data that was available in the Protected Planet API in August 2018."
Series-Time,"Terrestrial and marine protected areas (% of total territorial area) (ER.PTD.TOTL.ZS)","  (YR2016)","Reflects data that was available in the Protected Planet API in January 2017."
Series-Time,"Terrestrial and marine protected areas (% of total territorial area) (ER.PTD.TOTL.ZS)","  (YR2017)","Reflects data that was available in the Protected Planet API in August 2018."
Series-Time,"Firms with female participation in ownership (% of firms) (IC.FRM.FEMO.ZS)","  (YR2002)","The sample was drawn from the manufacturing sector only."
Series-Time,"Firms with female participation in ownership (% of firms) (IC.FRM.FEMO.ZS)","  (YR2003)","The sample was drawn from the manufacturing sector only."
Series-Time,"Firms with female participation in ownership (% of firms) (IC.FRM.FEMO.ZS)","  (YR2004)","The sample was drawn from the manufacturing sector only."
Series-Time,"Firms with female participation in ownership (% of firms) (IC.FRM.FEMO.ZS)","  (YR2005)","The sample was drawn from the manufacturing sector only."
Series-Time,"Firms with female participation in ownership (% of firms) (IC.FRM.FEMO.ZS)","  (YR2006)","The sample was drawn from the manufacturing sector only."
Series-Time,"Firms with female participation in ownership (% of firms) (IC.FRM.FEMO.ZS)","  (YR2007)","The sample was drawn from the manufacturing sector only."
Series-Time,"Demand for family planning satisfied by modern methods (% of married women with demand for family planning) (SH.FPL.SATM.ZS)","  (YR2014)","Averages for regions/groups are based on most recent available country-level data (2009-)."
Series-Time,"Nurses and midwives (per 1,000 people) (SH.MED.NUMW.P3)","  (YR2015)","Averages for regions/groups are based on most recent available country-level data (2009-)."
Series-Time,"Physicians (per 1,000 people) (SH.MED.PHYS.ZS)","  (YR2015)","Averages for regions/groups are based on most recent available country-level data (2009-)."
Series-Time,"Exclusive breastfeeding (% of children under 6 months) (SH.STA.BFED.ZS)","  (YR2014)","Averages for regions/groups are based on most recent available country-level data (2009-)."
Series-Time,"Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS)","  (YR2014)","Averages for regions/groups are based on most recent available country-level data (2008-)."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2001)","Interpolated using data for 1997 and 2002."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2002)","The data refer to 2000-2005."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2003)","Interpolated using data for 2002 and 2007."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2004)","Interpolated using data for 2002 and 2007."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2005)","Interpolated using data for 2002 and 2007."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2006)","Interpolated using data for 2002 and 2007."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2007)","The data refer to 2005-2010."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2008)","Interpolated using data for 2007 and 2012."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2009)","Interpolated using data for 2007 and 2012."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2010)","Interpolated using data for 2007 and 2012."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2011)","Interpolated using data for 2007 and 2012."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2012)","The data refer to 2010-2015."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2013)","Interpolated using data for 2012 and 2017."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2014)","Interpolated using data for 2012 and 2017."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2015)","Interpolated using data for 2012 and 2017."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2016)","Interpolated using data for 2012 and 2017."
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","  (YR2017)","The data refer to 2015-2020."
Series-Time,"Completeness of birth registration (%) (SP.REG.BRTH.ZS)","  (YR2015)","Averages for regions/groups are based on most recent available country-level data (2009-)."
